id,name_short,name,name_long
354232,Prev. HIV/AIDS,Prevence HIV/AIDS-Protidrog.politika,Prevence HIV/AIDS-Program protidrogové politiky
354233,Prev. HIV/AIDS,Prevence HIV/AIDS-Integr.romské kom.,Prevence HIV/AIDS-Podpora projektů integrace příslušníků romské komunity
354234,Prev. HIV/AIDS,Prevence HIV/AIDS-Příprava kriz.sit.,Prevence HIV/AIDS-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3543,Pomoc zdrav.post,Pomoc zdravotně postiženým a chronicky nemocným,Pomoc zdravotně postiženým a chronicky nemocným
354300,Pomoc zdrav.post,Pomoc zdravotně postiženým a chronicky nemocným,Pomoc zdravotně postiženým a chronicky nemocným
354330,Pomoc zdrav.post,Pomoc zdrav.postiženým a chron.nemocným-Zahr.rozvoj.spolup.,Pomoc zdravotně postiženým a chronicky nemocným-Zahraniční rozvojová spolupráce
354331,Pomoc zdrav.post,Pomoc zdrav.postiženým a chron.nemocným-Prevence soc.a krim,Pomoc zdravotně postiženým a chronicky nemocným-Program sociální prevence a prevence kriminality
354332,Pomoc zdrav.post,Pomoc zdrav.postiženým a chron.nemocným-Protidrog.politika,Pomoc zdravotně postiženým a chronicky nemocným-Program protidrogové politiky
354333,Pomoc zdrav.post,Pomoc zdrav.postiženým a chron.nemocným-Integr.romské kom.,Pomoc zdravotně postiženým a chronicky nemocným-Podpora projektů integrace příslušníků romské komunity
354334,Pomoc zdrav.post,Pomoc zdrav.postiženým a chron.nemocným-Příprava kriz.sit.,Pomoc zdravotně postiženým a chronicky nemocným-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3544,Nár.progr.zdrav,Národní program zdraví,Národní program zdraví
354400,Nár.progr.zdrav,Národní program zdraví,Národní program zdraví
354430,Nár.progr.zdrav,Národní program zdraví-Zahr.rozvoj.spolup.,Národní program zdraví-Zahraniční rozvojová spolupráce
354431,Nár.progr.zdrav,Národní program zdraví-Prevence soc.a krim,Národní program zdraví-Program sociální prevence a prevence kriminality
354432,Nár.progr.zdrav,Národní program zdraví-Protidrog.politika,Národní program zdraví-Program protidrogové politiky
354433,Nár.progr.zdrav,Národní program zdraví-Integr.romské kom.,Národní program zdraví-Podpora projektů integrace příslušníků romské komunity
354434,Nár.progr.zdrav,Národní program zdraví-Příprava kriz.sit.,Národní program zdraví-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3545,Progr.paliativ.p,Programy paliativní péče,Programy paliativní péče
354500,Progr.paliativ.p,Programy paliativní péče,Programy paliativní péče
354530,Progr.paliativ.p,Programy paliativní péče-Zahr.rozvoj.spolup.,Programy paliativní péče-Zahraniční rozvojová spolupráce
354531,Progr.paliativ.p,Programy paliativní péče-Prevence soc.a krim,Programy paliativní péče-Program sociální prevence a prevence kriminality
354532,Progr.paliativ.p,Programy paliativní péče-Protidrog.politika,Programy paliativní péče-Program protidrogové politiky
354533,Progr.paliativ.p,Programy paliativní péče-Integr.romské kom.,Programy paliativní péče-Podpora projektů integrace příslušníků romské komunity
354534,Progr.paliativ.p,Programy paliativní péče-Příprava kriz.sit.,Programy paliativní péče-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3549,Ost.spec.zdr.péč,Ostatní speciální zdravotnická péče,Ostatní speciální zdravotnická péče
354900,Ost.spec.zdr.péč,Ostatní speciální zdravotnická péče,Ostatní speciální zdravotnická péče
354930,Ost.spec.zdr.péč,Ostatní speciální zdravotnická péče-Zahr.rozvoj.spolup.,Ostatní speciální zdravotnická péče-Zahraniční rozvojová spolupráce
354931,Ost.spec.zdr.péč,Ostatní speciální zdravotnická péče-Prevence soc.a krim,Ostatní speciální zdravotnická péče-Program sociální prevence a prevence kriminality
354932,Ost.spec.zdr.péč,Ostatní speciální zdravotnická péče-Protidrog.politika,Ostatní speciální zdravotnická péče-Program protidrogové politiky
354933,Ost.spec.zdr.péč,Ostatní speciální zdravotnická péče-Integr.romské kom.,Ostatní speciální zdravotnická péče-Podpora projektů integrace příslušníků romské komunity
354934,Ost.spec.zdr.péč,Ostatní speciální zdravotnická péče-Příprava kriz.sit.,Ostatní speciální zdravotnická péče-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
356,Správa ve zdravot.,Správa ve zdravotnictví,Správa ve zdravotnictví
3561,ÚOSS ve zdrav.,Činnost ústřed. org. státní správy ve zdravot.,Činnost ústředního orgánu státní správy ve zdravotnictví
356100,ÚOSS ve zdrav.,Činnost ústřed. org. státní správy ve zdravot.,Činnost ústředního orgánu státní správy ve zdravotnictví
356130,ÚOSS ve zdrav.,Činnost ústř.org.státní správy ve zdrav.-Zahr.rozvoj.spolup.,Činnost ústředního orgánu státní správy ve zdravotnictví-Zahraniční rozvojová spolupráce
356131,ÚOSS ve zdrav.,Činnost ústř.org.státní správy ve zdrav.-Prevence soc.a krim,Činnost ústředního orgánu státní správy ve zdravotnictví-Program sociální prevence a prevence kriminality
356132,ÚOSS ve zdrav.,Činnost ústř.org.státní správy ve zdrav.-Protidrog.politika,Činnost ústředního orgánu státní správy ve zdravotnictví-Program protidrogové politiky
356133,ÚOSS ve zdrav.,Činnost ústř.org.státní správy ve zdrav.-Integr.romské kom.,Činnost ústředního orgánu státní správy ve zdravotnictví-Podpora projektů integrace příslušníků romské komunity
356134,ÚOSS ve zdrav.,Činnost ústř.org.státní správy ve zdrav.-Příprava kriz.sit.,Činnost ústředního orgánu státní správy ve zdravotnictví-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3562,Ost. OOS zdrav.,Činnost ost. orgánů st.správy ve zdravotnictví,Činnost ostatních orgánů státní správy ve zdravotnictví
356200,Ost. OOS zdrav.,Činnost ost. orgánů st.správy ve zdravotnictví,Činnost ostatních orgánů státní správy ve zdravotnictví
356230,Ost. OOS zdrav.,Činnost ost. orgánů st.správy ve zdrav.-Zahr.rozvoj.spolup.,Činnost ostatních orgánů státní správy ve zdravotnictví-Zahraniční rozvojová spolupráce
356231,Ost. OOS zdrav.,Činnost ost. orgánů st.správy ve zdrav.-Prevence soc.a krim,Činnost ostatních orgánů státní správy ve zdravotnictví-Program sociální prevence a prevence kriminality
356232,Ost. OOS zdrav.,Činnost ost. orgánů st.správy ve zdrav.-Protidrog.politika,Činnost ostatních orgánů státní správy ve zdravotnictví-Program protidrogové politiky
356233,Ost. OOS zdrav.,Činnost ost. orgánů st.správy ve zdrav.-Integr.romské kom.,Činnost ostatních orgánů státní správy ve zdravotnictví-Podpora projektů integrace příslušníků romské komunity
